                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.01449,                0.94065,                      1,                0.96509,             0.00024747,             0.00024747,             0.00024747
                     68,                0.00978,                0.94245,                      1,                0.96691,              0.0002404,              0.0002404,              0.0002404
                     69,                0.01331,                0.94245,                      1,                0.96194,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02082,                0.95324,                      1,                0.95829,             0.00022627,             0.00022627,             0.00022627
                     71,                  0.013,                0.94604,                      1,                0.96497,              0.0002192,              0.0002192,              0.0002192
                     72,                0.01536,                0.94604,                      1,                 0.9605,             0.00021213,             0.00021213,             0.00021213
                     73,                0.02213,                0.94424,                      1,                0.96222,             0.00020506,             0.00020506,             0.00020506
                     74,                0.01242,                0.94065,                      1,                 0.9663,             0.00019799,             0.00019799,             0.00019799
                     75,                0.01421,                0.94065,                      1,                0.96574,             0.00019092,             0.00019092,             0.00019092
                     76,                0.01206,                0.93705,                      1,                0.96938,             0.00018385,             0.00018385,             0.00018385
                     77,                0.01546,                0.94065,                      1,                0.96163,             0.00017679,             0.00017679,             0.00017679
                     78,                0.01308,                0.93885,                      1,                0.96296,             0.00016972,             0.00016972,             0.00016972
                     79,                0.01069,                0.94065,                      1,                0.96283,             0.00016265,             0.00016265,             0.00016265
                     80,                0.01373,                0.94424,                      1,                0.95834,             0.00015558,             0.00015558,             0.00015558
                     81,                0.00954,                0.94784,                      1,                0.96203,             0.00014851,             0.00014851,             0.00014851
                     82,                 0.0115,                0.93525,                      1,                0.96291,             0.00014144,             0.00014144,             0.00014144
                     83,                0.01238,                0.94065,                      1,                0.96159,             0.00013437,             0.00013437,             0.00013437
                     84,                0.01129,                0.93345,                      1,                0.96788,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00603,                0.93705,                      1,                0.96317,             0.00012024,             0.00012024,             0.00012024
                     86,                0.00919,                0.94065,                      1,                0.96314,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.0066,                0.93885,                      1,                 0.9622,              0.0001061,              0.0001061,              0.0001061
                     88,                0.01054,                0.94245,                      1,                0.96069,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00864,                0.94065,                      1,                0.96231,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00632,                0.94245,                      1,                0.96121,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00633,                0.94065,                      1,                0.96037,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00895,                0.94065,                      1,                0.96211,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00895,                0.94245,                      1,                0.96478,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.00921,                0.94245,                      1,                0.96537,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00842,                0.94065,                      1,                0.96255,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00492,                0.94065,                      1,                0.95889,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00801,                0.94065,                      1,                 0.9596,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00904,                0.94065,                      1,                0.96022,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00802,                0.93885,                      1,                0.96093,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.00835,                0.93885,                      1,                0.96331,             1.4209e-05,             1.4209e-05,             1.4209e-05
